cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD Ryzen Threadripper PRO 3995WX,6807.98,83971,12.33,2626,0.39,280.0,299.9,64,2020,sWRX8,Desktop
AMD Ryzen Threadripper 3990X,8399.69,81568,9.71,2569,0.31,280.0,291.31,64,2020,sTRX4,Desktop
AMD Ryzen Threadripper 3970X,2997.99,63835,21.29,2694,0.9,280.0,227.98,32,2019,sTRX4,Desktop
AMD Ryzen Threadripper PRO 3975WX,4499.99,63495,14.11,2666,0.59,280.0,226.77,32,2020,sWRX8,Desktop
AMD Ryzen Threadripper 3960X,1682.9,54757,32.54,2678,1.59,280.0,195.56,24,2019,sTRX4,Desktop
AMD Ryzen 9 5950X,649.74,46195,71.1,3498,5.38,105.0,439.96,16,2020,AM4,Desktop
Intel Core i9-12900KS,779.98,44243,56.72,4317,5.53,150.0,294.95,8,2022,LGA1700,Desktop
Intel Core i9-12900KF,572.98,41163,71.84,4217,7.36,241.0,170.8,8,2021,LGA1700,Desktop
Intel Core i9-12900K,599.95,41077,68.47,4209,7.02,241.0,170.44,8,2021,LGA1700,Desktop
AMD Ryzen Threadripper PRO 3955WX,1995.0,40225,20.16,2696,1.35,280.0,143.66,16,2020,sWRX8,Desktop
AMD Ryzen 9 5900X,393.03,39457,100.39,3494,8.89,105.0,375.78,12,2020,AM4,Desktop
AMD Ryzen 9 3950X,650.0,39157,60.24,2738,4.21,105.0,372.92,16,2019,AM4,Desktop
Intel Core i9-12900,509.0,38281,75.21,4162,8.18,65.0,588.95,8,2022,LGA1700,Desktop
Intel Core i9-12900F,529.99,35726,67.41,4045,7.63,65.0,549.63,8,2022,LGA1700,Desktop
Intel Core i9-12900T,489.0,34999,71.57,4032,8.25,35.0,999.97,8,2022,LGA1700,Desktop
Intel Core i7-12700K,409.0,34125,83.44,4047,9.9,190.0,179.61,8,2021,LGA1700,Desktop
Intel Core i7-12700KF,350.99,34110,97.18,4054,11.55,190.0,179.53,8,2021,LGA1700,Desktop
Intel Core i9-10980XE @ 3.00GHz,999.99,33408,33.41,2667,2.67,165.0,202.47,18,2019,LGA2066,Desktop
AMD Ryzen 9 3900XT,618.77,32869,53.12,2786,4.5,105.0,313.04,12,2020,AM4,Desktop
AMD Ryzen 9 3900X,359.0,32751,91.23,2725,7.59,105.0,311.92,12,2019,AM4,Desktop
AMD Ryzen Threadripper 2990WX,2100.0,32475,15.46,2290,1.09,250.0,129.9,32,2018,sTR4,Desktop
Intel Core i7-12700F,312.96,32268,103.11,3987,12.74,65.0,496.43,8,2022,LGA1700,Desktop
Intel Core i9-9980XE @ 3.00GHz,1442.21,31905,22.12,2566,1.78,165.0,193.37,18,2018,LGA2066,Desktop
Intel Core i7-12700,328.0,31659,96.52,3948,12.04,65.0,487.07,8,2022,LGA1700,Desktop
AMD Ryzen 9 3900,517.27,30660,59.27,2627,5.08,65.0,471.7,12,2019,AM4,Desktop
Intel Core i9-9960X @ 3.10GHz,1498.95,30655,20.45,2631,1.76,165.0,185.79,16,2019,LGA2066,Desktop
AMD Ryzen Threadripper 2970WX,669.0,30433,45.49,2358,3.52,250.0,121.73,24,2018,sTR4,Desktop
Intel Core i9-9990XE @ 4.00GHz,2163.0,30162,13.94,2970,1.37,255.0,118.28,14,2020,LGA2066,Desktop
AMD Ryzen Threadripper 2950X,990.0,29981,30.28,2488,2.51,180.0,166.56,16,2018,sTR4,Desktop
Intel Core i9-7980XE @ 2.60GHz,816.42,29842,36.55,2474,3.03,165.0,180.86,18,2017,LGA2066,Desktop
Intel Core i9-10940X @ 3.30GHz,771.99,28619,37.07,2724,3.53,165.0,173.45,14,2019,LGA2066,Desktop
Intel Core i9-9940X @ 3.30GHz,841.4,28411,33.77,2647,3.15,165.0,172.19,14,2018,LGA2066,Desktop
AMD Ryzen 7 5800X,333.99,28368,84.94,3485,10.43,105.0,270.17,8,2020,AM4,Desktop
AMD Ryzen Threadripper 1950X,684.47,28037,40.96,2293,3.35,180.0,155.76,16,2017,sTR4,Desktop
Intel Xeon W-2275 @ 3.30GHz,1112.0,27904,25.09,2790,2.51,165.0,169.12,14,2020,LGA2066,Desktop
Intel Core i5-12600K,277.98,27429,98.67,3965,14.26,150.0,182.86,6,2021,LGA1700,Desktop
Intel Core i5-12600KF,260.98,27186,104.17,3967,15.2,150.0,181.24,6,2021,LGA1700,Desktop
AMD Ryzen 7 5700X,299.0,27065,90.52,3397,11.36,65.0,416.38,8,2022,AM4,Desktop
Intel Core i9-7960X @ 2.80GHz,990.97,26699,26.94,2525,2.55,165.0,161.81,16,2017,LGA2066,Desktop
Intel Core i9-10920X @ 3.50GHz,679.99,26696,39.26,2766,4.07,165.0,161.79,12,2019,LGA2066,Desktop
Intel Core i9-7940X @ 3.10GHz,548.87,26508,48.3,2490,4.54,165.0,160.65,14,2017,LGA2066,Desktop
Intel Core i9-11900K @ 3.50GHz,397.97,25539,64.17,3519,8.84,125.0,204.31,8,2021,LGA1200,Desktop
AMD Ryzen 7 5800X3D,599.0,25508,42.58,2850,4.76,105.0,242.93,8,2022,AM4,Desktop
Intel Core i9-11900KF @ 3.50GHz,379.98,25390,66.82,3563,9.38,125.0,203.12,8,2021,LGA1200,Desktop
Intel Core i9-9920X @ 3.50GHz,999.0,25291,25.32,2621,2.62,165.0,153.28,12,2018,LGA2066,Desktop
AMD Ryzen Threadripper 2920X,761.0,25203,33.12,2482,3.26,180.0,140.01,12,2018,sTR4,Desktop
Intel Core i7-11700K @ 3.60GHz,297.0,24749,83.33,3429,11.55,125.0,197.99,8,2020,LGA1200,Desktop
AMD Ryzen 7 5700G,233.0,24545,105.34,3281,14.08,65.0,377.62,8,2021,AM4,Desktop
Intel Core i7-11700KF @ 3.60GHz,279.0,24147,86.55,3420,12.26,125.0,193.17,8,2021,LGA1200,Desktop
AMD Ryzen 7 3800XT,391.65,23815,60.81,2845,7.26,105.0,226.81,8,2020,AM4,Desktop
Intel Core i9-11900F @ 2.50GHz,379.99,23814,62.67,3528,9.28,65.0,366.37,8,2021,LGA1200,Desktop
