cpu,motherboard,gpu,ram,psu,price,type,rating
Intel Core i5-10600K @ 4.10GHz,Asus PRIME B460M-A,GeForce GTX 1660,TEAMGROUP T-Create Classic 64 GB,Deepcool PQ850M,1051.68,Professional,38.95433972310969
Intel Core i9-11900 @ 2.50GHz,Asus ROG STRIX B560-A GAMING WIFI,Radeon RX 5700 XT,TEAMGROUP T-Force Zeus 32 GB,SeaSonic FOCUS PX,1554.7400000000002,Gaming,16.421845453259063
AMD Athlon X4 950,Asus PRIME B550M-K,Radeon Vega Frontier Edition,Mushkin Redline Lumina 32 GB,Thermaltake Toughpower GF3 TT Premium,2054.49,Gaming,6.520693700139694
Intel Core i3-10100 @ 3.60GHz,Asus ROG STRIX Z590-E GAMING WIFI,GeForce RTX 2080 SUPER,G.Skill Trident Z RGB 256 GB,Asus TUF Gaming 850G,1756.91,Gaming,23.90942051670262
AMD Ryzen 7 5700G,Asus PRIME X370-PRO,GeForce RTX 2080 SUPER,Kingston Server Premier 8 GB,Athena Power APOLLO 600,1503.4,Professional,20.51317014766529
AMD Ryzen 9 5900X,Asus ROG Crosshair VIII Hero (WI-FI),Radeon RX 6800,G.Skill Flare X 16 GB,PowerSpec GFM,1689.01,Multimedia,37.02079916637557
Intel Core i3-9320 @ 3.70GHz,Asus ROG STRIX Z370-F GAMING,Radeon Pro W5500,Crucial CT8G4DFD824A 8 GB,EVGA 600 BR,1348.73,Gaming,10.32163590933693
Intel Core i9-12900T,ASRock Z690 Phantom Gaming-ITX/TB4,GeForce RTX 2080 SUPER,G.Skill Ripjaws 32 GB,SeaSonic SS-300TFX Bronze,1560.84,Multimedia,37.197598728889574
Intel Core i7-12700F,ASRock Z690 Taichi,GeForce GTX 1080 Ti,Kingston FURY Beast 32 GB,In Win P65,1461.74,All-in-One,29.529464884315953
Intel Pentium Gold G5400 @ 3.70GHz,Gigabyte Z390 UD,GeForce GTX 1070 Ti,TEAMGROUP T-Force Delta RGB 32 GB,Thermaltake Toughpower GX1,902.23,Office,28.977090098976976
Intel Core i3-12300,Asus ROG MAXIMUS Z690 EXTREME,Radeon RX 580,ADATA XPG SPECTRIX D50 16 GB,Cooler Master Elite 400 V3,1560.19,Multimedia,25.610662803889273
Intel Core i5-11600T @ 1.70GHz,Gigabyte Z590 AORUS TACHYON,GeForce RTX 2060 SUPER,Corsair Vengeance LPX 64 GB,FSP Group FSP300-60LG-5K,1364.75,Office,31.43725957135006
AMD PRO A12-9800E,Gigabyte X570S AERO G,Radeon RX 6800 XT,TEAMGROUP Elite 8 GB,PowerSpec PS 650GSM,1490.13,All-in-One,21.18687631280492
AMD Ryzen 7 3800XT,NZXT N7 B550,GeForce RTX 3060 Ti,Corsair Dominator Platinum RGB 16 GB,EVGA SuperNOVA 850 G2,1692.6100000000001,Gaming,13.79012294621915
Intel Core i3-10305 @ 3.80GHz,Asus PRIME H510M-E,Radeon RX 6600 XT,PNY XLR8 Gaming EPIC-X RGB 16 GB,Athena Power AP-MFATX50P8,875.0,Multimedia,53.216571428571434
