name,price,type,efficiency,wattage,modular
Corsair RM750e (2023),99.99,ATX,gold,750,Full
Corsair RM850x (2021),149.99,ATX,gold,850,Full
Corsair RM1000x (2021),169.99,ATX,gold,1000,Full
Thermaltake Toughpower GX2,66.98,ATX,gold,600,False
Corsair RM750x (2021),119.99,ATX,gold,750,Full
Corsair RM850,139.99,ATX,gold,850,Full
Thermaltake Smart,39.99,ATX,plus,500,False
Corsair SF750,163.49,SFX,platinum,750,Full
Corsair RM850e (2023),119.99,ATX,gold,850,Full
Corsair CX650M (2021),79.98,ATX,bronze,650,Semi
Corsair HX1200 Platinum,346.99,ATX,platinum,1200,Full
Corsair CX750M (2021),89.95,ATX,bronze,750,Semi
Corsair RM1000e (2023),159.99,ATX,gold,1000,Full
Gigabyte UD750GM,90.98,ATX,gold,750,Full
Corsair RM650x (2021),109.99,ATX,gold,650,Full
Cooler Master V850 SFX GOLD,135.99,SFX,gold,850,Full
Corsair RM750,115.99,ATX,gold,750,Full
Corsair AX1600i,549.99,ATX,titanium,1600,Full
NZXT C850 (2022),138.99,ATX,gold,850,Full
MSI A1000G PCIE5,199.99,ATX,gold,1000,Full
EVGA 600 W1,62.98,ATX,plus,600,False
Thermaltake Smart,47.98,ATX,plus,600,False
MSI MPG A850G PCIE5,139.99,ATX,gold,850,Full
EVGA SuperNOVA 1000 GT,169.99,ATX,gold,1000,Full
EVGA 500 BR,84.88,ATX,bronze,500,False
Thermaltake Toughpower GF1 PE,136.99,ATX,gold,850,Full
EVGA SuperNOVA 850 GT,129.99,ATX,gold,850,Full
Thermaltake Toughpower Grand RGB,112.99,ATX,gold,650,Full
Thermaltake Smart,54.95,ATX,plus,700,False
Thermaltake Smart,33.99,ATX,plus,430,False
EVGA SuperNOVA 750 GT,119.99,ATX,gold,750,Full
EVGA 700 GD,79.98,ATX,gold,700,False
EVGA 600 GD,79.98,ATX,gold,600,False
SeaSonic S12III,69.0,ATX,bronze,650,False
Asus ROG THOR 1600T Gaming,665.99,ATX,titanium,1600,Full
Lian Li SP,114.99,SFX,gold,750,Full
Apevia Prestige,51.99,ATX,gold,600,False
Corsair SF1000L,179.99,SFX,gold,1000,Full
Cooler Master MWE Gold 850 - V2,119.99,ATX,gold,850,Full
MSI MPG A650GF,106.99,ATX,gold,650,Full
SeaSonic FOCUS Plus 650 Gold,129.99,ATX,gold,650,Full
EVGA 500 W1,53.59,ATX,plus,500,False
MSI MPG A750GF,129.99,ATX,gold,750,Full
SeaSonic FOCUS PLUS 850 Gold,159.99,ATX,gold,850,Full
NZXT C750 (2022),129.99,ATX,gold,750,Full
Gigabyte UD850GM,109.99,ATX,gold,850,Full
Corsair HX1500i (2022),349.99,ATX,platinum,1500,Full
EVGA SuperNOVA 750 GM,149.0,SFX,gold,750,Full
EVGA 700 BR,79.98,ATX,bronze,700,False
Corsair RM750e (2022),180.29,ATX,gold,750,Full
Gigabyte UD1000GM,134.99,ATX,gold,1000,Full
Cooler Master MWE GOLD 750 V2 FULL MODULAR,171.0,ATX,gold,750,Full
Asus TUF Gaming 1000G,169.99,ATX,gold,1000,Full
EVGA SuperNOVA 650 GT,99.99,ATX,gold,650,Full
Cooler Master V550 V2,125.99,ATX,gold,550,Full
SeaSonic PRIME TX-1000,338.98,ATX,titanium,1000,Full
be quiet! Straight Power 11,209.9,ATX,platinum,1000,Full
Lian Li SP850,144.65,SFX,gold,850,Full
Asus ROG STRIX G,199.99,ATX,gold,1000,Full
MSI MEG Ai1300P PCIE5,329.99,ATX,platinum,1300,Full
Cooler Master MasterWatt,99.99,ATX,bronze,750,Semi
Corsair HX1000 Platinum,389.98,ATX,platinum,1000,Full
Apevia Prestige,66.98,ATX,gold,800,False
Phanteks Revolt Pro,129.99,ATX,gold,850,Full
EVGA SuperNOVA 650 G5,109.99,ATX,gold,650,Full
EVGA SuperNOVA 850 GM,148.99,SFX,gold,850,Full
Cooler Master V750 SFX GOLD,109.99,SFX,gold,750,Full
be quiet! Pure Power 12 M,128.5,ATX,gold,750,Full
Thermaltake Toughpower GF1 PE,109.99,ATX,gold,750,Full
SeaSonic FOCUS Plus 750 Gold,139.99,ATX,gold,750,Full
Corsair RM850e (2022),323.48,ATX,gold,850,Full
Corsair RM1000e (2022),249.99,ATX,gold,1000,Full
be quiet! Straight Power 11,174.9,ATX,platinum,850,Full
EVGA SuperNOVA 650 GM,120.0,SFX,gold,650,Full
EVGA 600 BR,93.78,ATX,bronze,600,False
Asus ROG LOKI,249.99,SFX,platinum,1000,Full
Asus ROG Strix,375.0,ATX,gold,850,Full
Raidmax Cobra,49.99,ATX,bronze,700,False
be quiet! Straight Power 11,249.9,ATX,platinum,1200,Full
SeaSonic PRIME TX,529.99,ATX,titanium,1600,Full
EVGA SuperNOVA 1600 G2,674.21,ATX,gold,1600,Full
be quiet! Pure Power 12 M,164.9,ATX,gold,1000,Full
Corsair RM650,215.98,ATX,gold,650,Full
Cooler Master MasterWatt,89.99,ATX,bronze,650,Semi
ADATA XPG CORE Reactor 850,119.99,ATX,gold,850,Full
SeaSonic FOCUS Plus Platinum,184.99,ATX,platinum,850,Full
Phanteks Revolt SFX,94.99,SFX,gold,650,Full
EVGA GE,89.99,ATX,gold,800,False
Super Flower Leadex III Gold,138.68,ATX,gold,750,Full
be quiet! Pure Power 12 M,99.0,ATX,gold,650,Full
Corsair RM750 (2019),249.95,ATX,gold,750,Full
Corsair RM1000x,246.89,ATX,gold,1000,Full
Asus ROG THOR P2 Gaming,379.99,ATX,platinum,1200,Full
Enermax REVOLUTION D.F. 2,109.99,ATX,gold,850,Full
EVGA GE,79.98,ATX,gold,700,False
SeaSonic PRIME PX-1300,330.0,ATX,platinum,1300,Full
NZXT C1200,219.99,ATX,gold,1200,Full
be quiet! Dark Power 13,289.89,ATX,titanium,1000,Full
SeaSonic VERTEX GX-1200,289.99,ATX,gold,1200,Full
SeaSonic FOCUS Plus Platinum,159.99,ATX,platinum,750,Full
Corsair RM750x White (2018),248.0,ATX,gold,750,Full
SeaSonic FOCUS GX,166.98,ATX,gold,850,Full
Asus TUF Gaming 850G,129.99,ATX,gold,850,Full
Corsair HX1000i (2022),357.99,ATX,platinum,1000,Full
Corsair SF600,239.0,SFX,platinum,600,Full
Thermaltake TOUGHPOWER GF A3,89.99,ATX,gold,750,Full
be quiet! Dark Power Pro 13,459.9,ATX,titanium,1600,Full
be quiet! Pure Power 12 M,134.9,ATX,gold,850,Full
SeaSonic FOCUS GX,145.98,ATX,gold,750,Full
EVGA 850 BQ,118.14,ATX,bronze,850,Semi
Cooler Master V850 SFX GOLD,129.99,SFX,gold,850,Full
EVGA 550 BP,59.99,ATX,bronze,550,False
EVGA SuperNOVA 1300 GT,219.99,ATX,gold,1300,Full
Asus ROG-STRIX-850G,178.63,ATX,gold,850,Full
Thermaltake Toughpower GF3 TT Premium,269.99,ATX,gold,1650,Full
EVGA GE,69.98,ATX,gold,500,False
Thermaltake Toughpower GF1 PE,119.98,ATX,gold,650,Full
Thermaltake Smart BX1,79.8,ATX,bronze,750,False
EVGA SuperNOVA 750 G5,144.98,ATX,gold,750,Full
EVGA SuperNOVA 1600 T2,499.99,ATX,titanium,1600,Full
Silverstone SFX,112.99,SFX,gold,500,Full
Super Flower Leadex V Pro,299.99,ATX,platinum,1000,Full
SeaSonic FOCUS GX,253.48,ATX,gold,1000,Full
Corsair SF850L,159.99,SFX,gold,850,Full
be quiet! System Power 10,181.81,ATX,gold,850,False
Silverstone SX1000-LPT,250.21,SFX,platinum,1000,Full
be quiet! System Power 10,101.48,ATX,bronze,450,False
be quiet! Straight Power 11 750W,135.99,ATX,gold,750,Full
be quiet! Dark Power 13,249.9,ATX,titanium,850,Full
Asus ROG Strix,292.0,ATX,gold,750,Full
Thermaltake Smart Pro RGB,119.57,ATX,bronze,750,Full
Apevia Signature,71.98,ATX,bronze,1050,Semi
Gigabyte P450B,89.98,ATX,bronze,450,False
Deepcool PM750D,97.99,ATX,gold,750,False
Fractal Design Ion Gold,209.0,ATX,gold,550,Full
EVGA SuperNOVA 1600 P+,304.99,ATX,platinum,1600,Full
Phanteks AMP v2,179.99,ATX,gold,1000,Full
Corsair CX450M (2015),136.79,ATX,bronze,450,Semi
EVGA SuperNOVA 850 P6,188.63,ATX,platinum,850,Full
EVGA SuperNOVA 850 T2,234.0,ATX,titanium,850,Full
Super Flower Leadex Titanium,799.99,ATX,titanium,1600,Full
Corsair HX750 Platinum,294.99,ATX,platinum,750,Full
Silverstone SFX,223.98,SFX,titanium,800,Full
Thermaltake Toughpower GF3 TT Premium,169.99,ATX,gold,1000,Full
be quiet! Pure Power 11,89.29,ATX,gold,400,False
Corsair CX750F,159.99,ATX,bronze,750,Full
Corsair RM850x (2018),187.99,ATX,gold,850,Full
SeaSonic FOCUS GX,132.98,ATX,gold,650,Full
Corsair RM750x (2018),186.95,ATX,gold,750,Full
EVGA 550 B5,79.98,ATX,bronze,550,Full
Deepcool PM850D,98.98,ATX,gold,850,False
EVGA 850 GQ,145.0,ATX,gold,850,Semi
GameMax RGB Rainbow,99.99,ATX,gold,850,Full
Thermaltake Toughpower GF1 ARGB,95.99,ATX,gold,650,Full
Gigabyte P550B,69.99,ATX,bronze,550,False
Phanteks Revolt SFX,104.99,SFX,gold,750,Full
Cooler Master V750 V2,159.99,ATX,gold,750,Full
be quiet! System Power 10,98.09,ATX,bronze,650,False
SeaSonic S12III,71.98,ATX,bronze,500,False
Corsair CX650M,224.95,ATX,bronze,650,Semi
SeaSonic VERTEX GX-1000,244.43,ATX,gold,1000,Full
NZXT C1000 (2022),219.67,ATX,gold,1000,Full
Corsair CX550F,136.79,ATX,bronze,550,Full
Deepcool PQ750M,109.99,ATX,gold,750,Full
Thermaltake Toughpower GF3 TT Premium,127.99,ATX,gold,850,Full
