name,price,speed,modules,price_per_gb,first_word_latency,cas_latency,planks,size
Corsair Vengeance LPX 16 GB,39.99,"[4, 3200]","[2, 8]",2.499,10.0,16.0,2,16
Corsair Vengeance RGB Pro 32 GB,104.98,"[4, 3600]","[2, 16]",3.281,10.0,18.0,2,32
Corsair Vengeance 32 GB,92.99,"[5, 5600]","[2, 16]",2.906,12.857,36.0,2,32
Corsair Vengeance LPX 32 GB,67.98,"[4, 3600]","[2, 16]",2.124,10.0,18.0,2,32
G.Skill Trident Z5 RGB 32 GB,104.99,"[5, 6000]","[2, 16]",3.281,12.0,36.0,2,32
Corsair Vengeance RGB Pro 16 GB,56.99,"[4, 3200]","[2, 8]",3.562,10.0,16.0,2,16
G.Skill Trident Z5 RGB 64 GB,229.99,"[5, 6400]","[2, 32]",3.594,10.0,32.0,2,64
Silicon Power GAMING 16 GB,29.97,"[4, 3200]","[2, 8]",1.873,10.0,16.0,2,16
Corsair Vengeance 32 GB,97.99,"[5, 6000]","[2, 16]",3.062,12.0,36.0,2,32
G.Skill Ripjaws V 32 GB,63.99,"[4, 3200]","[2, 16]",2.0,10.0,16.0,2,32
Corsair Vengeance LPX 16 GB,41.99,"[4, 3600]","[2, 8]",2.624,10.0,18.0,2,16
Corsair Vengeance RGB Pro SL 32 GB,77.99,"[4, 3600]","[2, 16]",2.437,10.0,18.0,2,32
Corsair Vengeance RGB 32 GB,102.99,"[5, 6000]","[2, 16]",3.218,12.0,36.0,2,32
G.Skill Trident Z5 RGB 32 GB,119.99,"[5, 6400]","[2, 16]",3.75,10.0,32.0,2,32
G.Skill Flare X5 32 GB,94.99,"[5, 6000]","[2, 16]",2.968,12.0,36.0,2,32
G.Skill Ripjaws S5 32 GB,97.99,"[5, 6000]","[2, 16]",3.062,10.0,30.0,2,32
Corsair Vengeance LPX 32 GB,62.99,"[4, 3200]","[2, 16]",1.968,10.0,16.0,2,32
Silicon Power GAMING 32 GB,48.97,"[4, 3200]","[2, 16]",1.53,10.0,16.0,2,32
TEAMGROUP T-Force Vulcan Z 16 GB,33.99,"[4, 3200]","[2, 8]",2.124,10.0,16.0,2,16
G.Skill Ripjaws V 16 GB,48.99,"[4, 3600]","[2, 8]",3.062,8.889,16.0,2,16
Corsair Vengeance RGB Pro 16 GB,64.98,"[4, 3200]","[2, 8]",4.061,10.0,16.0,2,16
Corsair Vengeance RGB 32 GB,97.99,"[5, 5200]","[2, 16]",3.062,15.385,40.0,2,32
G.Skill Trident Z5 Neo RGB 32 GB,116.99,"[5, 6000]","[2, 16]",3.656,10.0,30.0,2,32
G.Skill Ripjaws V 64 GB,1937.68,"[4, 3200]","[4, 16]",30.276,8.75,14.0,2,64
Corsair Vengeance 64 GB,259.99,"[5, 6600]","[2, 32]",4.062,9.697,32.0,2,64
Kingston FURY Beast 16 GB,47.75,"[4, 3200]","[2, 8]",2.984,10.0,16.0,2,16
G.Skill Trident Z RGB 32 GB,81.99,"[4, 3200]","[2, 16]",2.562,10.0,16.0,2,32
G.Skill Trident Z RGB 16 GB,59.99,"[4, 3600]","[2, 8]",3.749,10.0,18.0,2,16
Corsair Vengeance 64 GB,164.99,"[5, 5200]","[2, 32]",2.578,15.385,40.0,2,64
G.Skill Ripjaws V 32 GB,86.99,"[4, 3600]","[2, 16]",2.718,8.889,16.0,2,32
Corsair Vengeance RGB 32 GB,102.99,"[5, 6000]","[2, 16]",3.218,13.333,40.0,2,32
G.Skill Trident Z5 Neo 64 GB,224.99,"[5, 6000]","[2, 32]",3.515,10.0,30.0,2,64
TEAMGROUP T-Force Vulcan Z 32 GB,57.99,"[4, 3600]","[2, 16]",1.812,10.0,18.0,2,32
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"[4, 3600]","[2, 8]",2.937,10.0,18.0,2,16
Corsair Dominator Platinum RGB 32 GB,169.99,"[5, 6200]","[2, 16]",5.312,11.613,36.0,2,32
Corsair Vengeance LPX 64 GB,127.99,"[4, 3200]","[2, 32]",2.0,10.0,16.0,2,64
G.Skill Ripjaws S5 32 GB,99.99,"[5, 5600]","[2, 16]",3.125,10.0,28.0,2,32
TEAMGROUP T-Force Delta RGB 32 GB,65.98,"[4, 3600]","[2, 16]",2.062,10.0,18.0,2,32
TEAMGROUP T-Force Vulcan 32 GB,79.98,"[5, 5600]","[2, 16]",2.499,11.429,32.0,2,32
Kingston FURY Beast 16 GB,69.98,"[5, 5200]","[2, 8]",4.374,15.385,40.0,2,16
G.Skill Ripjaws V 16 GB,38.99,"[4, 3200]","[2, 8]",2.437,10.0,16.0,2,16
Kingston FURY 128 GB,551.71,"[5, 5600]","[4, 32]",4.31,14.286,40.0,2,128
TEAMGROUP T-Force Delta RGB 16 GB,46.99,"[4, 3600]","[2, 8]",2.937,10.0,18.0,2,16
